ASIGNATURA,GRUPO,LIM,Lunes,Martes,Miercoles,Jueves,Viernes
ETICA GENERAL Y PROFESIONAL,A,De:,,,,07:00:00,
ETICA GENERAL Y PROFESIONAL,A,A:,,,,09:40:00,
ETICA GENERAL Y PROFESIONAL,B,De:,,,,15:50:00,
ETICA GENERAL Y PROFESIONAL,B,A:,,,,18:30:00,
ETICA GENERAL Y PROFESIONAL,C,De:,,14:50:00,,,
ETICA GENERAL Y PROFESIONAL,C,A:,,17:30:00,,,
MICROPROCESADOR Y MICROCONTROLADOR,A,De:,12:20:00,,,,14:00:00
MICROPROCESADOR Y MICROCONTROLADOR,A,A:,14:50:00,,,,15:40:00
MICROPROCESADOR Y MICROCONTROLADOR,B,De:,,,18:30:00,18:30:00,
MICROPROCESADOR Y MICROCONTROLADOR,B,A:,,,21:00:00,20:10:00,
MICROPROCESADOR Y MICROCONTROLADOR,C,De:,17:40:00,17:40:00,,,
MICROPROCESADOR Y MICROCONTROLADOR,C,A:,20:10:00,19:20:00,,,
LINEAS DE TRANSMISION,A,De:,,13:10:00,11:30:00,,
LINEAS DE TRANSMISION,A,A:,,14:50:00,13:10:00,,
LINEAS DE TRANSMISION,A,De:,,,17:40:00,,
LINEAS DE TRANSMISION,A,A:,,,19:20:00,,
LINEAS DE TRANSMISION,B,De:,,,,11:30:00,14:00:00
LINEAS DE TRANSMISION,B,A:,,,,13:10:00,15:40:00
LINEAS DE TRANSMISION,B,De:,17:40:00,,,,
LINEAS DE TRANSMISION,B,A:,19:20:00,,,,
LINEAS DE TRANSMISION,C,De:,15:50:00,,,09:40:00,
LINEAS DE TRANSMISION,C,A:,17:30:00,,,11:30:00,
LINEAS DE TRANSMISION,C,De:,,,19:20:00,,
LINEAS DE TRANSMISION,C,A:,,,21:00:00,,
INTERNETWORKING 1,A,De:,,,,,07:00:00
INTERNETWORKING 1,A,A:,,,,,09:40:00
INTERNETWORKING 1,A,De:,,,,17:40:00,
INTERNETWORKING 1,A,A:,,,,19:20:00,
INTERNETWORKING 1,B,De:,12:20:00,,,,
INTERNETWORKING 1,B,A:,14:50:00,,,,
INTERNETWORKING 1,B,De:,19:20:00,,,,
INTERNETWORKING 1,B,A:,21:00:00,,,,
INTERNETWORKING 1,C,De:,,,,13:10:00,
INTERNETWORKING 1,C,A:,,,,15:40:00,
INTERNETWORKING 1,C,De:,,,,19:20:00,
INTERNETWORKING 1,C,A:,,,,21:00:00,
INGENIERIA DE MANTEMINIENTO ( E ),A,De:,,,15:50:00,,09:40:00
INGENIERIA DE MANTEMINIENTO ( E ),A,A:,,,17:30:00,,11:30:00
INGENIERIA DE MANTEMINIENTO ( E ),B,De:,09:40:00,19:20:00,,,
INGENIERIA DE MANTEMINIENTO ( E ),B,A:,11:30:00,21:00:00,,,
INGENIERIA DE MANTEMINIENTO ( E ),C,De:,,,08:50:00,,
INGENIERIA DE MANTEMINIENTO ( E ),C,A:,,,10:30:00,,
INGENIERIA DE MANTEMINIENTO ( E ),C,De:,,,17:40:00,,
INGENIERIA DE MANTEMINIENTO ( E ),C,A:,,,19:20:00,,
