Tiempo,Lunes,Martes,Miercoles,Jueves,Viernes
06:00:00,Libre,Libre,Libre,Libre,Libre
06:10:00,Libre,Libre,Libre,Libre,Libre
06:20:00,Libre,Libre,Libre,Libre,Libre
06:30:00,Libre,Libre,Libre,Libre,Libre
06:40:00,Libre,Libre,Libre,Libre,Libre
06:50:00,Libre,Libre,Libre,Libre,Libre
07:00:00,Libre,Libre,Libre,Libre,Libre
07:10:00,Libre,Libre,Libre,Libre,Libre
07:20:00,Libre,Libre,Libre,Libre,Libre
07:30:00,Libre,Libre,Libre,Libre,Libre
07:40:00,Libre,Libre,Libre,Libre,Libre
07:50:00,Libre,Libre,Libre,Libre,Libre
08:00:00,Libre,Libre,Libre,Libre,Libre
08:10:00,Libre,Libre,Libre,Libre,Libre
08:20:00,Libre,Libre,Libre,Libre,Libre
08:30:00,Libre,Libre,Libre,Libre,Libre
08:40:00,Libre,Libre,Libre,Libre,Libre
08:50:00,Libre,Libre,Libre,Libre,Libre
09:00:00,Libre,Libre,Libre,Libre,Libre
09:10:00,Libre,Libre,Libre,Libre,Libre
09:20:00,Libre,Libre,Libre,Libre,Libre
09:30:00,Libre,Libre,Libre,Libre,Libre
09:40:00,Libre,Libre,Libre,Libre,Libre
09:50:00,Libre,Libre,Libre,Libre,Libre
10:00:00,Libre,Libre,Libre,Libre,Libre
10:10:00,Libre,Libre,Libre,Libre,Libre
10:20:00,Libre,Libre,Libre,Libre,Libre
10:30:00,Libre,Libre,Libre,Libre,Libre
10:40:00,Libre,Libre,Libre,Libre,Libre
10:50:00,Libre,Libre,Libre,Libre,Libre
11:00:00,Libre,Libre,Libre,Libre,Libre
11:10:00,Libre,Libre,Libre,Libre,Libre
11:20:00,Libre,Libre,Libre,Libre,Libre
11:30:00,Libre,Libre,Libre,Libre,Libre
11:40:00,Libre,Libre,Libre,Libre,Libre
11:50:00,Libre,Libre,Libre,Libre,Libre
12:00:00,Libre,Libre,Libre,Libre,Libre
12:10:00,Libre,Libre,Libre,Libre,Libre
12:20:00,Libre,Libre,Libre,Libre,Libre
12:30:00,Libre,Libre,Libre,Libre,Libre
12:40:00,Libre,Libre,Libre,Libre,Libre
12:50:00,Libre,Libre,Libre,Libre,Libre
13:00:00,Libre,Libre,Libre,Libre,Libre
13:10:00,Libre,Libre,Libre,Libre,Libre
13:20:00,Libre,Libre,Libre,Libre,Libre
13:30:00,Libre,Libre,Libre,Libre,Libre
13:40:00,Libre,Libre,Libre,Libre,Libre
13:50:00,Libre,Libre,Libre,Libre,Libre
14:00:00,Libre,Libre,Libre,Libre,Libre
14:10:00,Libre,Libre,Libre,Libre,Libre
14:20:00,Libre,Libre,Libre,Libre,Libre
14:30:00,Libre,Libre,Libre,Libre,Libre
14:40:00,Libre,Libre,Libre,Libre,Libre
14:50:00,Libre,Libre,Libre,Libre,Libre
15:00:00,Libre,Libre,Libre,Libre,Libre
15:10:00,Libre,Libre,Libre,Libre,Libre
15:20:00,Libre,Libre,Libre,Libre,Libre
15:30:00,Libre,Libre,Libre,Libre,Libre
15:40:00,Libre,Libre,Libre,Libre,Libre
15:50:00,Libre,Libre,Libre,Libre,Libre
16:00:00,Libre,Libre,Libre,Libre,Libre
16:10:00,Libre,Libre,Libre,Libre,Libre
16:20:00,Libre,Libre,Libre,Libre,Libre
16:30:00,Libre,Libre,Libre,Libre,Libre
16:40:00,Libre,Libre,Libre,Libre,Libre
16:50:00,Libre,Libre,Libre,Libre,Libre
17:00:00,Libre,Libre,Libre,Libre,Libre
17:10:00,Libre,Libre,Libre,Libre,Libre
17:20:00,Libre,Libre,Libre,Libre,Libre
17:30:00,Libre,Libre,Libre,Libre,Libre
17:40:00,Libre,Libre,Libre,Libre,Libre
17:50:00,Libre,Libre,Libre,Libre,Libre
18:00:00,Libre,Libre,Libre,Libre,Libre
18:10:00,Libre,Libre,Libre,Libre,Libre
18:20:00,Libre,Libre,Libre,Libre,Libre
18:30:00,Libre,Libre,Libre,Libre,Libre
18:40:00,Libre,Libre,Libre,Libre,Libre
18:50:00,Libre,Libre,Libre,Libre,Libre
19:00:00,Libre,Libre,Libre,Libre,Libre
19:10:00,Libre,Libre,Libre,Libre,Libre
19:20:00,Libre,Libre,Libre,Libre,Libre
19:30:00,Libre,Libre,Libre,Libre,Libre
19:40:00,Libre,Libre,Libre,Libre,Libre
19:50:00,Libre,Libre,Libre,Libre,Libre
20:00:00,Libre,Libre,Libre,Libre,Libre
20:10:00,Libre,Libre,Libre,Libre,Libre
20:20:00,Libre,Libre,Libre,Libre,Libre
20:30:00,Libre,Libre,Libre,Libre,Libre
20:40:00,Libre,Libre,Libre,Libre,Libre
20:50:00,Libre,Libre,Libre,Libre,Libre
21:00:00,Libre,Libre,Libre,Libre,Libre
21:10:00,Libre,Libre,Libre,Libre,Libre
21:20:00,Libre,Libre,Libre,Libre,Libre
21:30:00,Libre,Libre,Libre,Libre,Libre
21:40:00,Libre,Libre,Libre,Libre,Libre
21:50:00,Libre,Libre,Libre,Libre,Libre
22:00:00,Libre,Libre,Libre,Libre,Libre
22:10:00,Libre,Libre,Libre,Libre,Libre
22:20:00,Libre,Libre,Libre,Libre,Libre
22:30:00,Libre,Libre,Libre,Libre,Libre
22:40:00,Libre,Libre,Libre,Libre,Libre
22:50:00,Libre,Libre,Libre,Libre,Libre
23:00:00,Libre,Libre,Libre,Libre,Libre
