Code,Signature,Group,Limits,Monday,Tuesday,Wednesday,Thursday,Friday
7,TELECOMUNICACIONES 1,A,De:,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 14:00:00
7,TELECOMUNICACIONES 1,A,A:,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 16:40:00
7,TELECOMUNICACIONES 1,A,De:,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 11:30:00
7,TELECOMUNICACIONES 1,A,A:,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 13:10:00
8,TELECOMUNICACIONES 1,B,De:,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 10:40:00,2021-05-03 00:00:00
8,TELECOMUNICACIONES 1,B,A:,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 13:10:00,2021-05-03 00:00:00
8,TELECOMUNICACIONES 1,B,De:,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 11:30:00,2021-05-03 00:00:00,2021-05-03 00:00:00
8,TELECOMUNICACIONES 1,B,A:,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 13:10:00,2021-05-03 00:00:00,2021-05-03 00:00:00
9,TELECOMUNICACIONES 1,C,De:,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 11:30:00
9,TELECOMUNICACIONES 1,C,A:,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 14:00:00
9,TELECOMUNICACIONES 1,C,De:,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 11:30:00,2021-05-03 00:00:00
9,TELECOMUNICACIONES 1,C,A:,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2021-05-03 13:10:00,2021-05-03 00:00:00
