Code,Signature,Group,Limits,Monday,Tuesday,Wednesday,Thursday,Friday
1,LIDERAZGO Y COMPORTAMIENTO ORGANIZACIONAL,A,De:,0,0,0,10:40:00,0
1,LIDERAZGO Y COMPORTAMIENTO ORGANIZACIONAL,A,A:,0,0,0,13:10:00,0
2,LIDERAZGO Y COMPORTAMIENTO ORGANIZACIONAL,B,De:,0,0,0,07:00:00,0
2,LIDERAZGO Y COMPORTAMIENTO ORGANIZACIONAL,B,A:,0,0,0,09:40:00,0
3,LIDERAZGO Y COMPORTAMIENTO ORGANIZACIONAL,C,De:,0,0,0,14:00:00,0
3,LIDERAZGO Y COMPORTAMIENTO ORGANIZACIONAL,C,A:,0,0,0,16:40:00,0
4,PROBLEMAS ACTUALES DE LA SOCIEDAD,A,De:,09:40:00,0,0,0,0
4,PROBLEMAS ACTUALES DE LA SOCIEDAD,A,A:,12:20:00,0,0,0,0
5,PROBLEMAS ACTUALES DE LA SOCIEDAD,B,De:,0,09:40:00,0,0,0
5,PROBLEMAS ACTUALES DE LA SOCIEDAD,B,A:,0,12:20:00,0,0,0
6,PROBLEMAS ACTUALES DE LA SOCIEDAD,C,De:,0,0,09:40:00,0,0
6,PROBLEMAS ACTUALES DE LA SOCIEDAD,C,A:,0,0,12:20:00,0,0
7,TELECOMUNICACIONES 1,A,De:,0,0,0,0,14:00:00
7,TELECOMUNICACIONES 1,A,A:,0,0,0,0,16:40:00
7,TELECOMUNICACIONES 1,A,De:,0,0,0,0,11:30:00
7,TELECOMUNICACIONES 1,A,A:,0,0,0,0,13:10:00
8,TELECOMUNICACIONES 1,B,De:,0,0,0,10:40:00,0
8,TELECOMUNICACIONES 1,B,A:,0,0,0,13:10:00,0
8,TELECOMUNICACIONES 1,B,De:,0,0,11:30:00,0,0
8,TELECOMUNICACIONES 1,B,A:,0,0,13:10:00,0,0
9,TELECOMUNICACIONES 1,C,De:,0,0,0,0,11:30:00
9,TELECOMUNICACIONES 1,C,A:,0,0,0,0,14:00:00
9,TELECOMUNICACIONES 1,C,De:,0,0,0,11:30:00,0
9,TELECOMUNICACIONES 1,C,A:,0,0,0,13:10:00,0
10,PROCESAMIENTO DIGITAL DE SEÑALES,A,De:,0,0,15:50:00,0,18:30:00
10,PROCESAMIENTO DIGITAL DE SEÑALES,A,A:,0,0,18:30:00,0,20:10:00
11,PROCESAMIENTO DIGITAL DE SEÑALES,B,De:,0,18:30:00,0,0,15:50:00
11,PROCESAMIENTO DIGITAL DE SEÑALES,B,A:,0,20:10:00,0,0,18:30:00
12,PROCESAMIENTO DIGITAL DE SEÑALES,C,De:,18:30:00,0,17:40:00,0,0
12,PROCESAMIENTO DIGITAL DE SEÑALES,C,A:,20:10:00,0,20:10:00,0,0
13,SISTEMAS DIGITALES,A,De:,0,15:50:00,18:30:00,0,0
13,SISTEMAS DIGITALES,A,A:,0,18:30:00,20:10:00,0,0
14,SISTEMAS DIGITALES,B,De:,0,0,09:40:00,0,0
14,SISTEMAS DIGITALES,B,A:,0,0,11:30:00,0,0
14,SISTEMAS DIGITALES,B,De:,0,0,15:50:00,0,0
14,SISTEMAS DIGITALES,B,A:,0,0,18:30:00,0,0
15,SISTEMAS DIGITALES,C,De:,13:10:00,19:20:00,0,0,0
15,SISTEMAS DIGITALES,C,A:,15:40:00,21:00:00,0,0,0
16,INGLES BÁSICO,A,De:,10:40:00,0,0,0,0
16,INGLES BÁSICO,A,A:,13:10:00,0,0,0,0
17,INGLES BÁSICO,B,De:,13:10:00,0,0,0,0
17,INGLES BÁSICO,B,A:,15:40:00,0,0,0,0
18,INGLES BÁSICO,C,De:,0,0,14:50:00,0,0
18,INGLES BÁSICO,C,A:,0,0,17:30:00,0,0
19,SISTEMAS DE CONTROL ( E),A,De:,0,0,10:40:00,0,0
19,SISTEMAS DE CONTROL ( E),A,A:,0,0,12:20:00,0,0
19,SISTEMAS DE CONTROL ( E),A,De:,17:40:00,0,0,0,0
19,SISTEMAS DE CONTROL ( E),A,A:,19:20:00,0,0,0,0
20,SISTEMAS DE CONTROL ( E),B,De:,16:40:00,0,0,0,0
20,SISTEMAS DE CONTROL ( E),B,A:,18:30:00,0,0,0,0
20,SISTEMAS DE CONTROL ( E),B,De:,0,13:10:00,0,0,0
20,SISTEMAS DE CONTROL ( E),B,A:,0,14:50:00,0,0,0
21,SISTEMAS DE CONTROL ( E),C,De:,0,0,0,09:40:00,0
21,SISTEMAS DE CONTROL ( E),C,A:,0,0,0,11:30:00,0
21,SISTEMAS DE CONTROL ( E),C,De:,10:40:00,0,0,0,0
21,SISTEMAS DE CONTROL ( E),C,A:,12:20:00,0,0,0,0
22,ÉTICA GENERAL Y PROFESIONAL,A,De:,0,0,0,08:50:00,0
22,ÉTICA GENERAL Y PROFESIONAL,A,A:,0,0,0,11:30:00,0
23,ÉTICA GENERAL Y PROFESIONAL,B,De:,0,10:40:00,0,0,0
23,ÉTICA GENERAL Y PROFESIONAL,B,A:,0,13:10:00,0,0,0
