0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Semana,Fecha,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,,Pruebas,Pruebas
Semana,Fecha,Activos,Activos,Confirmados,Confirmados,Recuperados,Recuperados,Fallecidos,Fallecidos,,Severos,Severos,,PCR+PR,PCR+PR
Semana,Fecha,Var.,Acum.,Nuevos,Acum.,Nuevos,Acum.,Nuevos,Acum.,,Hosp.,UCI,,Nuevos,Acum.
Sem. 1,6-3-2020,1,1,1,1,-,-,-,-,,-,-,,155,155
Sem. 1,7-3-2020,5,6,5,6,-,-,-,-,,-,-,,64,219
Sem. 2,8-3-2020,1,7,1,7,-,-,-,-,,-,-,,31,250
Sem. 2,9-3-2020,2,9,2,9,-,-,-,-,,-,-,,68,318
Sem. 2,10-3-2020,2,11,2,11,-,-,-,-,,-,-,,28,346
Sem. 2,11-3-2020,6,17,6,17,-,-,-,-,,-,-,,368,714
Sem. 2,12-3-2020,5,22,5,22,-,-,-,-,,-,-,,141,905
Sem. 2,13-3-2020,16,38,16,38,-,-,-,-,,-,-,,377,1232
Sem. 2,14-3-2020,5,43,5,43,-,-,-,-,,-,-,,313,1545
Sem. 3,15-3-2020,28,71,28,71,-,-,-,-,,-,-,,277,1822
Sem. 3,16-3-2020,14,85,15,86,1,1,-,-,,8,3,,493,2315
Sem. 3,17-3-2020,31,116,31,117,0,1,-,-,,13,3,,365,2797
Sem. 3,18-3-2020,28,144,28,145,0,1,-,-,,19,5,,395,3075
Sem. 3,19-3-2020,86,230,89,234,0,1,3,3,,19,7,,766,3841
Sem. 3,20-3-2020,28,258,29,263,0,1,1,4,,28,5,,457,4298
Sem. 3,21-3-2020,54,312,55,318,0,1,1,5,,28,5,,687,5185
Sem. 4,22-3-2020,45,357,45,363,0,1,0,5,,31,5,,1199,6184
Sem. 4,23-3-2020,31,388,32,395,0,1,0,5,,36,7,,480,6664
Sem. 4,24-3-2020,18,406,21,416,3,4,2,7,,23,9,,349,7013
Sem. 4,25-3-2020,64,470,64,480,2,6,2,9,,38,18,,1027,8040
Sem. 4,26-3-2020,84,554,100,580,8,14,0,9,,58,14,,1179,9219
Sem. 4,27-3-2020,48,602,55,635,2,16,2,11,,79,21,,846,10 065
Sem. 4,28-3-2020,34,636,36,671,0,16,5,16,,84,33,,831,10 896
Sem. 5,29-3-2020,176,812,181,852,0,16,2,18,,107,40,,1773,12 669
